pair_id,regime,source,n_tokens,n_chars,avg_word_length,type_token_ratio,pct_stopwords,n_proper_nouns,n_numbers,n_entities,has_quote,has_date,has_person,n_sentences,avg_sent_length,max_depth,n_clauses,is_cultural,is_medical,is_scientific,is_historical,is_geographic,has_superlative,has_negation,is_surprising,is_declarative,brevity,references_fiction,references_brand
mona_lisa,0,truth,8,42,4.5,1.0,0.375,3,0,1,0,0,1,1,8.0,2,0,0,0,0,0,0,0,0,0,1,0.023255813953488372,0,0
great_wall,0,truth,9,36,3.2222222222222223,1.0,0.4444444444444444,4,0,2,0,0,0,1,9.0,3,0,0,0,0,0,0,0,0,0,1,0.02702702702702703,0,0
coffee,0,truth,4,25,5.75,1.0,0.0,0,0,0,0,0,0,1,4.0,1,0,0,0,0,0,0,0,0,0,1,0.038461538461538464,0,0
olympics,0,truth,9,45,4.222222222222222,1.0,0.2222222222222222,2,1,2,0,1,0,1,9.0,2,0,0,0,0,0,0,0,0,0,1,0.021739130434782608,0,0
us_currency,0,truth,10,47,3.9,0.8,0.5,2,0,1,0,0,0,1,10.0,4,0,0,0,0,0,0,0,0,0,1,0.020833333333333332,0,0
statue_liberty,0,truth,8,36,3.75,1.0,0.5,3,0,2,0,0,0,1,8.0,3,0,0,0,0,0,0,0,0,0,1,0.02702702702702703,0,0
largest_planet,0,truth,10,47,3.9,1.0,0.4,1,0,1,0,0,0,1,10.0,4,0,0,0,1,0,0,1,0,0,1,0.020833333333333332,0,0
moon_orbit,0,truth,5,21,3.6,1.0,0.2,2,0,2,0,0,1,1,5.0,1,0,0,0,1,0,0,0,0,0,1,0.045454545454545456,0,0
num_planets,0,truth,9,45,4.222222222222222,1.0,0.4444444444444444,0,1,1,0,0,0,1,9.0,4,0,0,0,1,0,0,0,0,0,1,0.021739130434782608,0,0
sun_type,0,truth,6,20,2.6666666666666665,1.0,0.5,1,0,1,0,0,0,1,6.0,2,0,0,0,1,0,0,0,0,0,1,0.047619047619047616,0,0
heart_chambers,0,medical,6,27,3.8333333333333335,1.0,0.3333333333333333,0,1,1,0,0,0,1,6.0,2,0,0,1,0,0,0,0,0,0,1,0.03571428571428571,0,0
largest_internal_organ,0,medical,12,59,4.083333333333333,0.8333333333333334,0.4166666666666667,0,0,0,0,0,0,1,12.0,4,0,0,1,0,0,0,1,0,0,1,0.016666666666666666,0,0
red_blood_cells,0,medical,10,57,4.9,1.0,0.1,0,0,0,0,0,0,1,10.0,3,0,0,1,1,0,0,0,0,0,1,0.017241379310344827,0,0
adult_bones,0,medical,9,42,3.888888888888889,1.0,0.3333333333333333,0,1,1,0,0,0,1,9.0,3,0,0,1,0,0,0,0,0,0,1,0.023255813953488372,0,0
insulin_source,0,medical,7,33,4.0,1.0,0.42857142857142855,1,0,0,0,0,0,1,7.0,3,0,0,1,0,0,0,0,0,0,1,0.029411764705882353,0,0
longest_bone,0,medical,11,50,3.727272727272727,0.8181818181818182,0.45454545454545453,0,0,0,0,0,0,1,11.0,4,0,0,1,0,0,0,1,0,0,1,0.0196078431372549,0,0
aspirin_inflammation,0,medical,7,49,6.285714285714286,1.0,0.14285714285714285,0,0,0,0,0,0,1,7.0,2,0,0,0,0,0,0,0,0,0,1,0.02,0,0
penicillin_use,0,medical,8,45,4.875,1.0,0.25,1,0,1,0,0,0,1,8.0,3,1,0,1,0,0,0,0,0,0,1,0.021739130434782608,0,0
antihistamines,0,medical,8,54,6.0,1.0,0.25,0,0,0,0,0,0,1,8.0,3,1,0,1,0,0,0,0,0,0,1,0.01818181818181818,0,0
type1_diabetes,0,medical,11,51,3.8181818181818183,1.0,0.2727272727272727,0,1,1,0,0,0,1,11.0,5,0,0,1,0,0,0,0,0,0,1,0.019230769230769232,0,0
malaria_transmission,0,medical,6,37,5.5,1.0,0.3333333333333333,1,0,1,0,0,0,1,6.0,2,0,0,1,0,0,0,0,0,0,1,0.02631578947368421,0,0
hiv_target,0,medical,11,59,4.545454545454546,1.0,0.18181818181818182,1,0,0,0,0,0,1,11.0,4,0,0,1,0,0,0,0,0,0,1,0.016666666666666666,0,0
